,0,1,2,3,4,5,6,7
tx_hash,0xb2feed833c4b3cc782b0bd904a88326cf8ae0f3ab08c31b50999f9b1f931b2dd,0x07734dc1ffa2dcbd8d4b1d769056d09c4caa5ef851e1cc06bc254dccea8e0a89,0x9011ea8771f71144bd05eec4fbd453e92f23495386aa767452241f45d485236d,0x6013d237fa452c161383cb63f0ae34cd4fa7e196abb8d6849ff941b56f095a7b,0xe9658a272b46e4c999eed43e38a9c10415cff1734c475c89ee55ce3c19192eb6,0xba2b75a4c7e69c6358c348a454a394ce59c190d5c1d68511a56089d0c0c1cc4e,0x3e61cbc20dc2bcce04e5858b50bcff60e3cc5b4d163e565807ad57024fd8f561,0x61c8701c90941bf7c58dbb23c025ffbec8f4392cea000a4aa8787cf2bc191bfe
eth_value,39.746973,39.747393,16.433903,16.43432257,0.668749,0.669169,0.332303,0.3327239456066551
status,19411,19428,117490,117509,245374,245392,247297,247315
